System Organ Class,Placebo,Xanomeline Low Dose,Xanomeline High Dose
Subjects with any TEAE,65 (75.6%),84 (87.5%),68 (94.4%)
Cardiac Disorders,12 (14.0%),14 (14.6%),14 (19.4%)
"Congenital, Familial and Genetic Disorders",0 (0.0%),1 (1.0%),2 (2.8%)
Ear and Labyrinth Disorders,1 (1.2%),2 (2.1%),1 (1.4%)
Eye Disorders,2 (2.3%),2 (2.1%),1 (1.4%)
Gastrointestinal Disorders,17 (19.8%),15 (15.6%),19 (26.4%)
General Disorders and Administration Site Conditions,21 (24.4%),51 (53.1%),36 (50.0%)
Hepatobiliary Disorders,1 (1.2%),0 (0.0%),0 (0.0%)
Immune System Disorders,0 (0.0%),1 (1.0%),0 (0.0%)
Infections and Infestations,16 (18.6%),9 (9.4%),13 (18.1%)
"Injury, Poisoning and Procedural Complications",4 (4.7%),5 (5.2%),5 (6.9%)
Investigations,10 (11.6%),7 (7.3%),5 (6.9%)
Metabolism and Nutrition Disorders,6 (7.0%),1 (1.0%),2 (2.8%)
Musculoskeletal and Connective Tissue Disorders,4 (4.7%),7 (7.3%),7 (9.7%)
"Neoplasms Benign, Malignant and Unspecified (incl Cysts and Polyps)",0 (0.0%),2 (2.1%),1 (1.4%)
Nervous System Disorders,8 (9.3%),22 (22.9%),23 (31.9%)
Psychiatric Disorders,10 (11.6%),11 (11.5%),7 (9.7%)
Renal and Urinary Disorders,4 (4.7%),3 (3.1%),3 (4.2%)
Reproductive System and Breast Disorders,2 (2.3%),0 (0.0%),1 (1.4%)
"Respiratory, Thoracic and Mediastinal Disorders",8 (9.3%),9 (9.4%),10 (13.9%)
Skin and Subcutaneous Tissue Disorders,20 (23.3%),39 (40.6%),39 (54.2%)
Social Circumstances,0 (0.0%),0 (0.0%),1 (1.4%)
Surgical and Medical Procedures,2 (2.3%),1 (1.0%),2 (2.8%)
Vascular Disorders,3 (3.5%),3 (3.1%),1 (1.4%)
